Code,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
E09000001,City of London,27601.6,28303.6,31740.8,33259.200000000004,34933.6,35339.200000000004,36930.4,38885.6,40788.799999999996,41688.4,42354.0,44844.799999999996,45723.6,46378.799999999996,47002.799999999996,45229.6,46748.0,45614.4,45723.6,47247.200000000004,48791.6,51209.6,51058.799999999996,54792.4,56643.6,55224.0,56310.8,59488.0
E09000002,Barking and Dagenham,14976.0,18922.8,18200.0,19494.8,18486.0,20212.399999999998,20378.8,23566.399999999998,23285.600000000002,23431.2,25604.8,24741.600000000002,25162.8,25386.399999999998,26910.0,28288.0,29463.2,23264.8,24440.0,24913.2,23925.2,25438.399999999998,23436.399999999998,25823.2,25376.0,27383.2,27393.6,29770.0
E09000003,Barnet,14107.6,16406.0,16504.8,14970.8,16624.399999999998,16718.0,18189.600000000002,20092.8,19931.600000000002,21080.8,20763.600000000002,21814.0,22516.0,22282.0,23327.2,23405.2,23842.0,23452.0,23857.600000000002,22365.2,23160.8,21366.8,23327.2,23977.2,24102.0,27227.2,29354.0,29281.2
E09000004,Bexley,13863.2,15308.8,16229.2,16681.600000000002,16796.0,17680.0,18200.0,13312.0,19728.8,19302.399999999998,19531.2,19557.2,20571.2,21637.2,19739.2,21013.2,19687.2,21725.600000000002,21668.399999999998,23207.600000000002,23415.600000000002,24263.2,24960.0,22895.600000000002,24299.600000000002,23966.8,29458.0,28152.8
E09000005,Brent,15657.2,16629.600000000002,17009.2,18772.0,18772.0,18501.600000000002,19962.8,20623.2,21663.2,23140.0,22375.600000000002,22713.600000000002,23930.399999999998,22188.399999999998,21923.2,21923.2,22843.600000000002,23025.600000000002,25131.600000000002,25407.2,23904.399999999998,22921.600000000002,28834.0,30196.4,30092.4,37268.4,28813.2,32115.2
E09000006,Bromley,11346.4,10706.800000000001,10394.800000000001,10816.0,9531.6,9734.4,11502.4,13520.0,18304.0,19188.0,18969.600000000002,19879.600000000002,20295.600000000002,19978.399999999998,21325.2,21491.600000000002,21226.399999999998,20826.0,24018.8,22703.2,22588.8,21346.0,24908.0,22989.2,25625.600000000002,29827.2,28392.0,36098.4
E09000007,Camden,20425.600000000002,21476.0,22266.399999999998,23680.8,25469.600000000002,25948.0,27326.0,27944.8,27903.2,29104.4,28901.6,31891.6,31896.8,32884.799999999996,32645.6,32760.0,32515.6,31824.0,32110.0,32692.4,32890.0,34429.200000000004,35677.200000000004,34944.0,36732.799999999996,39483.6,39894.4,44200.0
E09000008,Croydon,15834.0,16811.600000000002,17300.399999999998,18283.2,18673.2,19136.0,19734.0,20566.0,19401.2,21439.600000000002,21034.0,22547.2,23342.8,24575.2,23748.399999999998,25194.0,24700.0,24351.600000000002,23868.0,26244.399999999998,26577.2,26748.8,28230.8,26665.6,31491.2,32115.2,34226.4,36758.799999999996
E09000009,Ealing,17612.399999999998,18064.8,19011.2,19406.399999999998,19890.0,21148.399999999998,21996.0,22791.600000000002,23041.2,22807.2,23873.2,24882.0,25006.8,25448.8,24476.399999999998,25630.8,25183.600000000002,23514.399999999998,24913.2,24658.399999999998,25079.600000000002,26213.2,26114.399999999998,27440.4,27357.2,29894.8,32916.0,34668.4
E09000010,Enfield,14877.2,15594.8,15714.4,17659.2,18938.399999999998,18813.600000000002,19375.2,22500.399999999998,19838.0,20711.600000000002,21840.0,20092.8,22230.0,21855.600000000002,22167.600000000002,22396.399999999998,21782.8,20571.2,22427.600000000002,22391.2,22822.8,21897.2,20930.0,24039.600000000002,24148.8,27882.4,27934.4,30565.6
