Code,Area,Year,Income,Rent
E09000001,City of London,1997,27601.6,2570.88
E09000002,Barking and Dagenham,1997,14976.0,3396.6399999999994
E09000003,Barnet,1997,14107.6,3021.72
E09000004,Bexley,1997,13863.2,2646.8
E09000005,Brent,1997,15657.2,2833.48
E09000006,Bromley,1997,11346.4,2961.4
E09000007,Camden,1997,20425.6,2810.08
E09000008,Croydon,1997,15834.0,3274.44
E09000009,Ealing,1997,17612.399999999998,2817.36
E09000010,Enfield,1997,14877.2,3061.76
E09000011,Greenwich,1997,15548.0,2878.72
E09000012,Hackney,1997,20181.2,2677.48
E09000013,Hammersmith and Fulham,1997,20659.6,2607.8
E09000014,Haringey,1997,15600.0,2719.6
E09000015,Harrow,1997,15880.8,2829.84
E09000016,Havering,1997,10363.6,2741.96
E09000017,Hillingdon,1997,18579.6,2883.4
E09000018,Hounslow,1997,18132.4,2971.8
E09000019,Islington,1997,21002.8,2626.0
E09000020,Kensington and Chelsea,1997,16624.399999999998,2472.08
E09000021,Kingston upon Thames,1997,15054.0,2806.96
E09000022,Lambeth,1997,19760.0,2520.44
E09000023,Lewisham,1997,16120.0,2538.12
E09000024,Merton,1997,13982.8,2989.48
E09000025,Newham,1997,16889.600000000002,2766.4
E09000026,Redbridge,1997,14180.4,2960.88
E09000027,Richmond upon Thames,1997,15906.8,2930.72
E09000028,Southwark,1997,19682.0,2598.44
E09000029,Sutton,1997,17446.0,2709.2000000000003
E09000030,Tower Hamlets,1997,22100.0,2703.48
E09000031,Waltham Forest,1997,14196.0,2709.2000000000003
E09000032,Wandsworth,1997,16770.0,2883.4
E09000033,Westminster,1997,21054.8,2683.2000000000003
E09000001,City of London,1998,28303.6,2674.88
E09000002,Barking and Dagenham,1998,18922.8,3529.76
E09000003,Barnet,1998,16406.0,3217.76
E09000004,Bexley,1998,15308.8,3056.56
E09000005,Brent,1998,16629.600000000002,2922.92
E09000006,Bromley,1998,10706.8,3097.64
E09000007,Camden,1998,21476.0,3076.84
