,Code,Area,Own Outright,Buying with mortgage,Rented from Local Authority or Housing Association,Rented from Private landlord,Total,Year
0,E09000001,City of London,-,-,-,-,-,2010
1,E09000002,Barking and Dagenham,25300,64300,62500,29900,181900,2010
2,E09000003,Barnet,87600,127000,40400,88400,343300,2010
3,E09000004,Bexley,62800,104300,33700,28800,229700,2010
4,E09000005,Brent,58000,69500,72200,99700,299400,2010
5,E09000006,Bromley,72800,147200,47000,39300,306200,2010
6,E09000007,Camden,37200,38400,75500,60300,211400,2010
7,E09000008,Croydon,60700,166000,72600,55400,354800,2010
8,E09000009,Ealing,72300,113500,62100,80600,328400,2010
9,E09000010,Enfield,62500,114600,54500,73800,305400,2010
10,E09000011,Greenwich,32900,80100,85300,48400,246700,2010
11,E09000012,Hackney,24800,60200,103300,52500,240700,2010
12,E09000013,Hammersmith and Fulham,31900,40800,59600,46200,178600,2010
13,E09000014,Haringey,34900,75600,77200,63400,251100,2010
14,E09000015,Harrow,54700,92100,32800,54900,234400,2010
15,E09000016,Havering,73000,105600,32200,23800,234700,2010
16,E09000017,Hillingdon,43500,118700,47400,57200,266800,2010
17,E09000018,Hounslow,43900,72300,57300,73300,246900,2010
18,E09000019,Islington,24000,44400,79900,49700,198000,2010
19,E09000020,Kensington and Chelsea,37200,26900,49500,44500,158000,2010
20,E09000021,Kingston upon Thames,41900,60600,19100,35500,157100,2010
21,E09000022,Lambeth,41600,87900,94500,70300,294300,2010
22,E09000023,Lewisham,36100,82900,83800,67700,270500,2010
23,E09000024,Merton,37400,79600,29400,51100,197500,2010
24,E09000025,Newham,36000,71400,80600,107000,294900,2010
25,E09000026,Redbridge,65100,115700,27700,64500,273100,2010
26,E09000027,Richmond upon Thames,42900,79500,23400,38700,184600,2010
27,E09000028,Southwark,21800,74700,124200,59000,279700,2010
28,E09000029,Sutton,37600,98900,23800,27500,187900,2010
29,E09000030,Tower Hamlets,20000,39500,109400,78300,247200,2010
30,E09000031,Waltham Forest,45000,75700,58700,73000,252400,2010
31,E09000032,Wandsworth,49800,93700,56400,98900,298800,2010
32,E09000033,Westminster,31400,27900,76400,78700,214400,2010
33,E09000001,City of London,-,-,-,-,-,2011
34,E09000002,Barking and Dagenham,24600,52900,62800,45800,186000,2011
35,E09000003,Barnet,76600,129000,63800,83100,352400,2011
36,E09000004,Bexley,70400,94900,32400,33000,230800,2011
37,E09000005,Brent,48500,79800,72200,107700,308200,2011
38,E09000006,Bromley,86400,144400,32200,44800,307800,2011
39,E09000007,Camden,34100,36600,87700,58700,217100,2011
40,E09000008,Croydon,66800,151500,73000,70300,361700,2011
41,E09000009,Ealing,58800,117100,71500,88500,335900,2011
42,E09000010,Enfield,68000,116200,46000,78400,308600,2011
43,E09000011,Greenwich,37700,77000,77300,60900,252900,2011
44,E09000012,Hackney,23000,50900,116300,55600,245800,2011
45,E09000013,Hammersmith and Fulham,30000,39300,55100,56600,181100,2011
46,E09000014,Haringey,40700,81500,65300,62600,250100,2011
47,E09000015,Harrow,48600,96100,27400,66300,238400,2011
48,E09000016,Havering,74100,101600,35800,24300,235700,2011
49,E09000017,Hillingdon,54000,117300,42000,59700,273000,2011
50,E09000018,Hounslow,49300,83700,49000,71700,253700,2011
51,E09000019,Islington,24000,44900,78900,56200,204100,2011
52,E09000020,Kensington and Chelsea,37700,21800,51800,44500,155900,2011
53,E09000021,Kingston upon Thames,37800,51100,27500,41400,157800,2011
54,E09000022,Lambeth,30200,87200,110300,73800,301500,2011
55,E09000023,Lewisham,32900,94600,81400,65000,273900,2011
56,E09000024,Merton,34000,81700,29400,54000,199100,2011
57,E09000025,Newham,30900,68200,76400,133200,308700,2011
58,E09000026,Redbridge,58400,109400,33000,79200,279900,2011
59,E09000027,Richmond upon Thames,47800,72200,17700,48100,185900,2011
60,E09000028,Southwark,28000,57700,130600,68100,284400,2011
61,E09000029,Sutton,35700,95100,22800,36200,189800,2011
62,E09000030,Tower Hamlets,13900,39800,114400,85700,253800,2011
63,E09000031,Waltham Forest,43700,85600,50700,78000,258100,2011
64,E09000032,Wandsworth,51900,96600,52200,103500,304200,2011
65,E09000033,Westminster,31200,34300,59200,94700,219400,2011
66,E09000001,City of London,-,-,-,-,-,2012
67,E09000002,Barking and Dagenham,26800,59100,65600,37200,188800,2012
68,E09000003,Barnet,76900,127600,49300,104600,358300,2012
69,E09000004,Bexley,66100,107800,31300,27900,233100,2012
70,E09000005,Brent,55900,78900,70800,106900,312400,2012
71,E09000006,Bromley,86700,154100,30600,40200,311600,2012
72,E09000007,Camden,40600,36700,82500,62500,222300,2012
73,E09000008,Croydon,84700,166400,40700,72800,364600,2012
74,E09000009,Ealing,61300,114100,51600,109500,336400,2012
75,E09000010,Enfield,68200,112400,61700,72100,314400,2012
76,E09000011,Greenwich,44300,74500,83000,55400,257300,2012
77,E09000012,Hackney,28800,60300,102900,59200,251200,2012
78,E09000013,Hammersmith and Fulham,33500,41800,57600,47800,180700,2012
79,E09000014,Haringey,42400,66200,78900,68000,255500,2012
80,E09000015,Harrow,52400,89800,29800,67300,239200,2012
81,E09000016,Havering,81400,100500,33100,22800,237800,2012
82,E09000017,Hillingdon,71100,90200,49200,68300,278700,2012
83,E09000018,Hounslow,51500,93100,40100,71300,256000,2012
84,E09000019,Islington,27800,36800,87800,56600,209000,2012
85,E09000020,Kensington and Chelsea,35400,27600,41700,49700,154500,2012
86,E09000021,Kingston upon Thames,37100,59300,17800,47400,161600,2012
87,E09000022,Lambeth,29500,84500,110700,82000,306700,2012
88,E09000023,Lewisham,39300,96600,79600,63700,279100,2012
89,E09000024,Merton,36700,85300,26100,52100,200300,2012
90,E09000025,Newham,33300,66600,97100,118000,315000,2012
91,E09000026,Redbridge,59900,130300,23300,69500,282900,2012
92,E09000027,Richmond upon Thames,46900,86300,14100,39900,187200,2012
93,E09000028,Southwark,34500,73000,124100,59800,291300,2012
94,E09000029,Sutton,42200,97900,23600,28300,192100,2012
95,E09000030,Tower Hamlets,17500,43800,108100,93100,262500,2012
96,E09000031,Waltham Forest,38500,97600,52100,72200,260400,2012
97,E09000032,Wandsworth,56000,108600,54300,86500,305400,2012
98,E09000033,Westminster,36600,27800,74500,84300,223200,2012
99,E09000001,City of London,-,-,-,-,-,2013
100,E09000002,Barking and Dagenham,25300,58300,69400,39800,192700,2013
101,E09000003,Barnet,87800,131100,44400,100000,363300,2013
102,E09000004,Bexley,70300,96500,38000,30900,235700,2013
103,E09000005,Brent,56000,84500,67100,106900,314500,2013
104,E09000006,Bromley,102300,148000,28400,36600,315300,2013
105,E09000007,Camden,38800,35500,87700,65900,227900,2013
106,E09000008,Croydon,81900,160300,51900,75200,369200,2013
107,E09000009,Ealing,63700,112900,55000,106600,338300,2013
108,E09000010,Enfield,73700,107900,60800,73700,316100,2013
109,E09000011,Greenwich,32800,87700,88600,50700,259800,2013
110,E09000012,Hackney,29900,58300,118200,50100,256500,2013
111,E09000013,Hammersmith and Fulham,26900,40800,51500,60800,179900,2013
112,E09000014,Haringey,37300,83100,68300,71000,259600,2013
113,E09000015,Harrow,62400,77500,26100,74400,240400,2013
114,E09000016,Havering,65100,107800,41900,24500,239400,2013
115,E09000017,Hillingdon,63100,108300,49900,62200,283500,2013
116,E09000018,Hounslow,51300,80100,46600,82000,260000,2013
117,E09000019,Islington,28800,45200,89200,50200,213200,2013
118,E09000020,Kensington and Chelsea,30300,20900,45900,58200,155300,2013
119,E09000021,Kingston upon Thames,39000,73500,17200,33500,163200,2013
120,E09000022,Lambeth,34200,84800,83500,104800,307300,2013
121,E09000023,Lewisham,30700,106600,80700,65300,283300,2013
122,E09000024,Merton,44400,85000,21300,48500,199200,2013
123,E09000025,Newham,36300,65700,86900,130300,319200,2013
124,E09000026,Redbridge,59900,125000,21300,79700,286000,2013
125,E09000027,Richmond upon Thames,47100,82300,19800,39300,188600,2013
126,E09000028,Southwark,26400,75800,124900,69400,296600,2013
127,E09000029,Sutton,42100,98300,25300,28700,194300,2013
128,E09000030,Tower Hamlets,17300,44600,124800,85600,272300,2013
129,E09000031,Waltham Forest,39700,90000,49200,85100,264000,2013
130,E09000032,Wandsworth,59400,103500,64600,81600,309200,2013
131,E09000033,Westminster,33200,28900,68100,93200,223400,2013
132,E09000001,City of London,-,-,-,-,-,2014
133,E09000002,Barking and Dagenham,26400,56500,70500,44300,197600,2014
134,E09000003,Barnet,88400,109000,45100,124800,367300,2014
135,E09000004,Bexley,72900,99900,39300,26800,238900,2014
136,E09000005,Brent,62400,79700,59200,117000,318200,2014
137,E09000006,Bromley,102200,140800,36000,39800,318800,2014
138,E09000007,Camden,40500,40200,85600,67100,233400,2014
139,E09000008,Croydon,97200,137600,68700,69000,372400,2014
140,E09000009,Ealing,57200,119600,49600,112200,338600,2014
141,E09000010,Enfield,67100,124600,58100,72400,322100,2014
142,E09000011,Greenwich,40000,82900,84100,59300,266300,2014
143,E09000012,Hackney,27300,59900,111800,60500,259400,2014
144,E09000013,Hammersmith and Fulham,30100,45200,45300,59600,180200,2014
145,E09000014,Haringey,43800,70900,83500,64800,263100,2014
146,E09000015,Harrow,69100,80800,19800,72700,242500,2014
147,E09000016,Havering,71100,101600,39700,32000,244400,2014
148,E09000017,Hillingdon,52800,109900,44100,82000,288800,2014
149,E09000018,Hounslow,58500,75500,48300,80500,262800,2014
150,E09000019,Islington,28700,52900,85100,51600,218300,2014
151,E09000020,Kensington and Chelsea,36900,26000,45400,47800,156100,2014
152,E09000021,Kingston upon Thames,38500,76200,14900,37000,166700,2014
153,E09000022,Lambeth,30000,86100,95800,102100,313900,2014
154,E09000023,Lewisham,38800,102200,76500,71100,288600,2014
155,E09000024,Merton,36700,75900,30400,59600,202500,2014
156,E09000025,Newham,31300,56100,104800,134700,326800,2014
157,E09000026,Redbridge,64200,118500,28600,79400,290700,2014
158,E09000027,Richmond upon Thames,52100,84500,15700,39200,191500,2014
159,E09000028,Southwark,28400,79800,115000,76600,299800,2014
160,E09000029,Sutton,45300,93700,20300,36700,196100,2014
161,E09000030,Tower Hamlets,13600,56200,139800,73700,283300,2014
162,E09000031,Waltham Forest,56500,79000,53000,76400,264900,2014
163,E09000032,Wandsworth,53900,99100,54600,102300,309800,2014
164,E09000033,Westminster,33600,31500,65500,97500,228100,2014
165,E09000001,City of London,-,-,-,-,7800,2015
166,E09000002,Barking and Dagenham,32600,67000,52100,49900,201600,2015
167,E09000003,Barnet,89600,127600,66900,91000,375200,2015
168,E09000004,Bexley,78800,104400,36000,22000,241200,2015
169,E09000005,Brent,48100,87100,63600,122700,321400,2015
170,E09000006,Bromley,80400,153600,38300,50500,322800,2015
171,E09000007,Camden,45300,44300,97400,52400,239400,2015
172,E09000008,Croydon,84700,151400,73200,67500,376800,2015
173,E09000009,Ealing,65500,109800,50900,114600,340700,2015
174,E09000010,Enfield,63500,113800,64400,84200,325900,2015
175,E09000011,Greenwich,37800,86100,82900,65100,271900,2015
176,E09000012,Hackney,23500,59200,124200,60500,267500,2015
177,E09000013,Hammersmith and Fulham,26000,43700,52400,57000,179100,2015
178,E09000014,Haringey,39400,68800,81400,77200,266800,2015
179,E09000015,Harrow,73900,74700,23900,72300,244700,2015
180,E09000016,Havering,72200,110200,35400,29900,247700,2015
181,E09000017,Hillingdon,55900,107700,55900,74000,293500,2015
182,E09000018,Hounslow,51300,82300,50600,81000,265200,2015
183,E09000019,Islington,23500,42000,90500,69200,225100,2015
184,E09000020,Kensington and Chelsea,30100,28500,47100,50500,156100,2015
185,E09000021,Kingston upon Thames,37500,77400,19200,35200,169300,2015
186,E09000022,Lambeth,30800,81500,109100,92000,313400,2015
187,E09000023,Lewisham,43400,101900,77000,67500,289800,2015
188,E09000024,Merton,43400,72400,36900,51700,204500,2015
189,E09000025,Newham,32800,70200,92000,138200,333200,2015
190,E09000026,Redbridge,76400,113200,21500,85100,296200,2015
191,E09000027,Richmond upon Thames,48900,92400,9100,42000,192400,2015
192,E09000028,Southwark,25300,82800,134100,62300,304500,2015
193,E09000029,Sutton,45300,94500,22400,36200,198400,2015
194,E09000030,Tower Hamlets,17700,49900,144000,80800,292400,2015
195,E09000031,Waltham Forest,57700,97800,45400,68100,269000,2015
196,E09000032,Wandsworth,50000,117400,46600,101300,315300,2015
197,E09000033,Westminster,34600,30100,78300,89300,232300,2015
198,E09000001,City of London,-,-,-,-,-,2016
199,E09000002,Barking and Dagenham,31000,70800,61300,44100,207200,2016
200,E09000003,Barnet,98600,132000,49200,101200,381000,2016
201,E09000004,Bexley,69600,110900,31000,32400,243900,2016
202,E09000005,Brent,42300,88900,72400,120600,324200,2016
203,E09000006,Bromley,86400,151200,34000,53500,325100,2016
204,E09000007,Camden,41300,48500,94300,61900,245900,2016
205,E09000008,Croydon,78000,163200,61600,74800,377500,2016
206,E09000009,Ealing,66700,95400,59300,119900,341300,2016
207,E09000010,Enfield,63200,119700,68600,78300,329900,2016
208,E09000011,Greenwich,32200,102100,90900,51400,276600,2016
209,E09000012,Hackney,22300,55500,120500,73400,271700,2016
210,E09000013,Hammersmith and Fulham,28800,41900,55700,54000,180300,2016
211,E09000014,Haringey,47500,69900,79100,73900,270400,2016
212,E09000015,Harrow,57800,82300,19400,87100,246500,2016
213,E09000016,Havering,87500,102300,36000,26000,251700,2016
214,E09000017,Hillingdon,56400,122400,46700,71900,297400,2016
215,E09000018,Hounslow,46400,88100,63500,69000,267000,2016
216,E09000019,Islington,30100,39100,94900,65500,229600,2016
217,E09000020,Kensington and Chelsea,32200,28000,52600,42300,155000,2016
218,E09000021,Kingston upon Thames,40800,67100,21700,42100,171800,2016
219,E09000022,Lambeth,40600,83600,121600,74500,320300,2016
220,E09000023,Lewisham,42600,109400,77000,66800,295700,2016
221,E09000024,Merton,53700,69400,29700,52300,205100,2016
222,E09000025,Newham,43500,77200,80100,142400,343200,2016
223,E09000026,Redbridge,68400,109500,28000,93300,299300,2016
224,E09000027,Richmond upon Thames,47800,99600,12600,33400,193500,2016
225,E09000028,Southwark,35000,83900,119800,70000,308700,2016
226,E09000029,Sutton,44400,92700,25900,36700,199700,2016
227,E09000030,Tower Hamlets,21700,43600,137200,96900,299500,2016
228,E09000031,Waltham Forest,49700,92100,42100,88700,272500,2016
229,E09000032,Wandsworth,47800,123900,44700,100000,316400,2016
230,E09000033,Westminster,36500,31900,78800,91100,238400,2016
231,E09000001,City of London,-,-,-,-,14000,2017
232,E09000002,Barking and Dagenham,29800,69100,62500,48300,209700,2017
233,E09000003,Barnet,96300,129200,40100,117800,383300,2017
234,E09000004,Bexley,73600,108700,29700,32900,244900,2017
235,E09000005,Brent,49500,82000,80700,114900,327100,2017
236,E09000006,Bromley,84300,159400,38200,44800,326800,2017
237,E09000007,Camden,49700,48600,85800,66500,250600,2017
238,E09000008,Croydon,62300,160800,60300,98100,381500,2017
239,E09000009,Ealing,90200,108500,43800,96600,339200,2017
240,E09000010,Enfield,78400,103700,56300,92000,330400,2017
241,E09000011,Greenwich,40000,100700,84100,55400,280100,2017
242,E09000012,Hackney,35300,56800,113200,68500,273900,2017
243,E09000013,Hammersmith and Fulham,36400,40800,50400,53300,180900,2017
244,E09000014,Haringey,45700,67200,62200,94500,269700,2017
245,E09000015,Harrow,61200,83400,19200,82900,246700,2017
246,E09000016,Havering,81200,116400,28700,27900,254300,2017
247,E09000017,Hillingdon,58400,115700,56900,68200,299300,2017
248,E09000018,Hounslow,48900,78700,62300,78000,267800,2017
249,E09000019,Islington,38000,43300,87600,63000,231700,2017
250,E09000020,Kensington and Chelsea,29500,24000,55300,45000,153800,2017
251,E09000021,Kingston upon Thames,42900,69600,20700,39700,172900,2017
252,E09000022,Lambeth,56400,87100,101100,76700,321300,2017
253,E09000023,Lewisham,36000,115600,84400,62600,298700,2017
254,E09000024,Merton,49500,74200,33800,46500,203900,2017
255,E09000025,Newham,51800,67900,88900,137700,346300,2017
256,E09000026,Redbridge,70300,120100,18600,90700,299600,2017
257,E09000027,Richmond upon Thames,58500,86100,11000,37800,193300,2017
258,E09000028,Southwark,36300,85700,113900,76100,312000,2017
259,E09000029,Sutton,59300,91100,22200,28800,201400,2017
260,E09000030,Tower Hamlets,32300,38500,128900,106900,306600,2017
261,E09000031,Waltham Forest,44100,98500,58900,71700,273200,2017
262,E09000032,Wandsworth,51400,123000,40500,104700,319600,2017
263,E09000033,Westminster,37800,28400,77800,90200,234200,2017
264,E09000001,City of London,-,-,-,-,9100,2018
265,E09000002,Barking and Dagenham,35300,67500,62500,49700,214900,2018
266,E09000003,Barnet,98300,137100,57900,97900,391300,2018
267,E09000004,Bexley,70900,117500,20800,39600,248800,2018
268,E09000005,Brent,56900,86100,77500,107900,328500,2018
269,E09000006,Bromley,79600,136500,45300,70400,331900,2018
270,E09000007,Camden,53000,43100,87500,72100,255700,2018
271,E09000008,Croydon,69600,143600,77400,92700,383300,2018
272,E09000009,Ealing,87300,130700,41900,83200,343100,2018
273,E09000010,Enfield,84200,86000,72100,94500,336700,2018
274,E09000011,Greenwich,53700,96600,81400,53100,284900,2018
275,E09000012,Hackney,35600,52100,125600,66500,279800,2018
276,E09000013,Hammersmith and Fulham,28500,40900,52500,58200,180000,2018
277,E09000014,Haringey,56300,70700,55600,93900,276400,2018
278,E09000015,Harrow,62600,81300,21200,83800,248900,2018
