Code,Area,Year,Income,Net additions,Persons per dwelling,Rent,Waiting_list,Income/Rent ratio
E09000001,City of London,1997,27601.6,,,2570.88,724,10.736245954692556
E09000002,Barking and Dagenham,1997,14976.0,,,3396.6399999999994,1422,4.409063074096755
E09000003,Barnet,1997,14107.6,,,3021.72,2975,4.668731715711582
E09000004,Bexley,1997,13863.2,,,2646.8,3175,5.2377210216110015
E09000005,Brent,1997,15657.2,,,2833.48,12974,5.5257845476234175
E09000006,Bromley,1997,11346.4,,,2961.4,2380,3.831431079894644
E09000007,Camden,1997,20425.6,,,2810.08,7456,7.268689859363434
E09000008,Croydon,1997,15834.0,,,3274.44,5038,4.835636017151025
E09000009,Ealing,1997,17612.399999999998,,,2817.36,10705,6.251384274640087
E09000010,Enfield,1997,14877.2,,,3061.76,3029,4.859035326086956
E09000011,Greenwich,1997,15548.0,,,2878.72,7693,5.401011560693642
E09000012,Hackney,1997,20181.2,,,2677.48,10941,7.537385900174791
E09000013,Hammersmith and Fulham,1997,20659.6,,,2607.8,5912,7.9222333000997
E09000014,Haringey,1997,15600.0,,,2719.6,5301,5.736137667304016
E09000015,Harrow,1997,15880.8,,,2829.84,1926,5.611907386990077
E09000016,Havering,1997,10363.6,,,2741.96,2242,3.7796320879954486
E09000017,Hillingdon,1997,18579.6,,,2883.4,3395,6.443642921550946
E09000018,Hounslow,1997,18132.4,,,2971.8,6564,6.101487314085739
E09000019,Islington,1997,21002.8,,,2626.0,10950,7.998019801980198
E09000020,Kensington and Chelsea,1997,16624.399999999998,,,2472.08,5554,6.724863273033234
E09000021,Kingston upon Thames,1997,15054.0,,,2806.96,2161,5.363097443497591
E09000022,Lambeth,1997,19760.0,,,2520.44,10263,7.8399009696719615
E09000023,Lewisham,1997,16120.0,,,2538.12,12337,6.351157549682442
E09000024,Merton,1997,13982.8,,,2989.48,2521,4.677335188728474
E09000025,Newham,1997,16889.600000000002,,,2766.4,10281,6.105263157894737
E09000026,Redbridge,1997,14180.4,,,2960.88,2107,4.7892518440463645
E09000027,Richmond upon Thames,1997,15906.8,,,2930.72,2684,5.427608232789212
E09000028,Southwark,1997,19682.0,,,2598.44,3749,7.574544726836102
E09000029,Sutton,1997,17446.0,,,2709.2000000000003,2346,6.439539347408829
E09000030,Tower Hamlets,1997,22100.0,,,2703.48,7955,8.174648970955953
E09000031,Waltham Forest,1997,14196.0,,,2709.2000000000003,8000,5.2399232245681375
E09000032,Wandsworth,1997,16770.0,,,2883.4,2662,5.8160504959422905
E09000033,Westminster,1997,21054.8,,,2683.2000000000003,3658,7.846899224806201
E09000001,City of London,1998,28303.6,,,2674.88,607,10.581259720062208
E09000002,Barking and Dagenham,1998,18922.8,,,3529.76,1682,5.360931054802593
E09000003,Barnet,1998,16406.0,,,3217.76,4429,5.098577892695539
E09000004,Bexley,1998,15308.8,,,3056.56,1896,5.008506294658047
E09000005,Brent,1998,16629.600000000002,,,2922.92,10153,5.689379114036649
E09000006,Bromley,1998,10706.8,,,3097.64,2487,3.4564378042638912
E09000007,Camden,1998,21476.0,,,3076.84,8019,6.979888456988339
E09000008,Croydon,1998,16811.600000000002,,,3429.4,5620,4.902198635329796
E09000009,Ealing,1998,18064.8,,,3078.4,5829,5.868243243243243
E09000010,Enfield,1998,15594.8,,,3189.6800000000003,5089,4.889142484512552
E09000011,Greenwich,1998,16224.0,,,3107.52,8619,5.220883534136546
E09000012,Hackney,1998,22588.8,,,2905.76,9680,7.773801002147458
E09000013,Hammersmith and Fulham,1998,20181.2,,,2778.36,3383,7.263709526483249
E09000014,Haringey,1998,14643.2,,,2892.24,5506,5.062927004674578
E09000015,Harrow,1998,17576.0,,,3073.72,2359,5.718152596853325
E09000016,Havering,1998,10847.2,,,3037.84,1872,3.5706949674768915
E09000017,Hillingdon,1998,19791.2,,,3075.28,4113,6.43557659790328
E09000018,Hounslow,1998,18371.6,,,3199.56,6837,5.741914513245571
E09000019,Islington,1998,21320.0,,,2829.32,10877,7.535379525822458
E09000020,Kensington and Chelsea,1998,18600.4,,,2617.6800000000003,7527,7.1056813667063965
E09000021,Kingston upon Thames,1998,16868.8,,,3120.52,1924,5.405765705715714
E09000022,Lambeth,1998,20935.2,,,2676.96,9013,7.82051282051282
E09000023,Lewisham,1998,15600.0,,,2721.16,13922,5.732849226065355
E09000024,Merton,1998,16952.0,,,3190.2000000000003,2569,5.3137734311328435
E09000025,Newham,1998,17279.600000000002,,,3059.16,9412,5.648478667346593
E09000026,Redbridge,1998,14123.2,,,3258.84,2466,4.333812031274932
E09000027,Richmond upon Thames,1998,16525.600000000002,,,3033.6800000000003,3741,5.4473774425779915
E09000028,Southwark,1998,19999.2,,,2746.12,3510,7.282711607650067
E09000029,Sutton,1998,15808.0,,,2891.2000000000003,1925,5.467625899280575
E09000030,Tower Hamlets,1998,23644.4,,,2896.4,5943,8.163375224416518
E09000031,Waltham Forest,1998,15787.2,,,3046.6800000000003,7977,5.181771633384536
E09000032,Wandsworth,1998,17794.399999999998,,,3055.52,2733,5.823689584751531
E09000033,Westminster,1998,21366.8,,,2882.36,5399,7.412953274400143
E09000001,City of London,1999,31740.8,,,2744.04,720,11.567178321015728
E09000002,Barking and Dagenham,1999,18200.0,,,3586.44,1785,5.074670146440481
E09000003,Barnet,1999,16504.8,,,3318.12,5004,4.974141984015045
E09000004,Bexley,1999,16229.2,,,3076.84,2762,5.274632415075207
E09000005,Brent,1999,17009.2,,,3108.56,11703,5.471729675476748
E09000006,Bromley,1999,10394.8,,,3184.48,3202,3.2642064010450684
E09000007,Camden,1999,22266.4,,,3186.04,6302,6.988738371144117
E09000008,Croydon,1999,17300.399999999998,,,3603.6,6389,4.8008658008658
E09000009,Ealing,1999,19011.2,,,3120.0,7261,6.093333333333334
E09000010,Enfield,1999,15714.4,,,3332.16,4263,4.715980024968789
