Code,Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
E09000001,City of London,108.10000000000036,9.099999999999454,137.10000000000036,111.09999999999945,-0.8999999999996362,1.1000000000003638,46.099999999999454,46.100000000000364,-7.900000000000546,54.100000000000364,18,35,437,226,77,7,138,351,297,206
E09000002,Barking and Dagenham,227.6999999999971,311.6999999999971,61.70000000001164,361.6999999999971,267.6999999999971,306.6999999999971,715.6999999999971,287.70000000001164,107.69999999999709,132.6999999999971,352,506,731,514,732,596,413,906,741,1048
E09000003,Barnet,285.6000000000058,1082.6000000000058,972.5999999999767,1046.6000000000058,1038.6000000000058,487.6000000000058,1251.6000000000058,1088.5999999999767,847.6000000000058,729.6000000000058,2114.6454816285986,1374,1113,1324,1458,1799,2208,2209,1990,2250
E09000004,Bexley,301.6000000000058,315.59999999999127,726.6000000000058,270.59999999999127,212.60000000000582,312.6000000000058,332.59999999999127,292.6000000000058,427.59999999999127,238.60000000000582,203,418,528,810,-132,764,277,486,208,632
E09000005,Brent,1401.1000000000058,1018.0999999999913,608.1000000000058,639.0999999999913,1674.1000000000058,1202.1000000000058,1067.0999999999913,1207.1000000000058,1170.0999999999913,669.1000000000058,560,662,734,1559,1051,1364,694,1741,2433,2404
E09000006,Bromley,257.1999999999971,340.1999999999971,494.20000000001164,831.1999999999971,747.1999999999971,952.2000000000116,773.1999999999825,560.2000000000116,625.1999999999825,738.2000000000116,576,692,149,411,700,858,554,708,485,272
E09000007,Camden,772.1000000000058,576.0999999999913,381.1000000000058,722.0999999999913,787.1000000000058,647.1000000000058,519.0999999999913,1040.1000000000058,582.0999999999913,689.1000000000058,368,564,454,439,965,1208,945,827,985,509
E09000008,Croydon,123.60000000000582,395.6000000000058,357.5999999999767,389.6000000000058,394.6000000000058,752.6000000000058,1182.6000000000058,1255.5999999999767,1097.6000000000058,849.6000000000058,707,891,1295,1523,2044,2835,2076,1590,1657,2029
E09000009,Ealing,258.6999999999971,332.6999999999971,505.70000000001164,481.6999999999971,833.6999999999971,1367.699999999997,1419.699999999997,849.7000000000116,520.6999999999971,285.6999999999971,685,990,769,897,721,845,1457,1754,1808,1681
E09000010,Enfield,1182.8999999999942,1142.9000000000087,1063.8999999999942,717.9000000000087,557.8999999999942,1053.8999999999942,1278.9000000000087,676.8999999999942,619.9000000000087,798.8999999999942,297,549,512,399,672,898,386,500,420,791
E09000011,Greenwich,565.8999999999942,773.9000000000087,1435.8999999999942,1624.9000000000087,1386.8999999999942,737.8999999999942,325.90000000000873,302.8999999999942,90.90000000000873,534.8999999999942,1323,114,1112,1148,1720,2380,1901,1514,3052,991
E09000012,Hackney,1348.5565012377629,1659.5565012377774,1371.5565012377774,1150.5565012377629,1202.5565012377629,1450.5565012377774,1910.5565012377774,2387.556501237763,1967.5565012377629,750.9914888600761,1156.6018641810952,800,1125,1258,826,1196,1267,1522,646,969
E09000013,Hammersmith and Fulham,192.3000000000029,321.3000000000029,589.2999999999884,468.3000000000029,648.3000000000029,654.3000000000029,541.3000000000029,484.29999999998836,907.3000000000029,488.3000000000029,471,420,626,1360,368,974,1531,1046,1149,1421
E09000014,Haringey,682.6842980077781,821.6842980077781,571.6842980077781,1454.6842980077781,1170.6842980077781,1487.6842980077927,1132.6842980077781,1334.6842980077781,1135.6842980077781,742.8413179299823,1283,577,474,133,239,741,1200,568,865,1432
E09000015,Harrow,229.10000000000582,561.0999999999913,529.1000000000058,651.0999999999913,658.1000000000058,709.1000000000058,463.09999999999127,860.1000000000058,599.0999999999913,530.1000000000058,470,715,295,410,910,656,700,1229,1200,775
E09000016,Havering,402.4693386773579,358.4693386773579,629.4693386773433,544.4693386773579,464.4693386773579,940.4693386773579,419.4693386773579,737.4693386773433,516.4693386773579,378.77595190380816,42,237,156,642,1012,443,277,466,508,486
E09000017,Hillingdon,267.5,438.5,539.5,340.5,594.5,284.5,494.5,881.5,606.5,399.5,989,1467,554,545,709,764,842,957,1646,718
E09000018,Hounslow,711.1999999999971,912.1999999999971,1174.2000000000116,901.1999999999971,858.1999999999971,1741.199999999997,1992.199999999997,868.2000000000116,924.1999999999971,999.1999999999971,580,232,686,397,480,557,911,1264,1545,1400
E09000019,Islington,1011.3000000000029,1728.300000000003,1279.2999999999884,679.3000000000029,877.3000000000029,1830.300000000003,1728.300000000003,2329.2999999999884,1593.300000000003,571.3000000000029,1224,919,1243,498,1027,674,367,916,757,651
E09000020,Kensington and Chelsea,67.69999999999709,146.6999999999971,397.70000000001164,154.6999999999971,77.69999999999709,34.69999999999709,-53.30000000000291,-24.29999999998836,203.6999999999971,41.69999999999709,102,57,596,984,384,355,335,115,511,267
