Code,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E09000001,City of London,2570.88,2674.88,2744.04,2887.04,2960.36,3052.4,3217.76,3417.44,3754.4,3823.04,4496.96,4290.52,4626.96,4985.76,5015.400000000001,5436.599999999999,5872.360000000001,6009.12,6471.92,6586.84,6600.360000000001,6595.16,6582.68,6561.360000000001,6684.6,6793.8,7009.6
E09000002,Barking and Dagenham,3396.6399999999994,3529.7599999999998,3586.44,3298.88,3337.3600000000006,3599.44,3589.56,3656.6399999999994,3891.16,4079.9199999999996,4235.400000000001,4437.68,4693.0,4975.88,5017.48,5287.88,5598.84,6287.84,6605.56,6682.304827586207,6694.637213391952,6162.76824964132,6079.84,6338.28,6172.92,6228.04,6527.56
E09000003,Barnet,3021.72,3217.76,3318.12,3417.44,3520.4,3604.6399999999994,3682.6399999999994,3876.6,4123.599999999999,4299.360000000001,4463.68,4684.68,4945.2,5281.12,5364.84,5709.08,6111.56,6411.08,6612.32,6870.638561202574,6780.336183695265,6639.513224199287,6654.44,6550.96,6696.56,6790.160000000001,7088.639999999999
E09000004,Bexley,2646.7999999999997,3056.56,3076.84,3246.88,3306.16,3445.0,3522.4799999999996,3466.84,3755.44,3926.5200000000004,4085.6399999999994,4280.12,4467.32,4701.84,4711.2,5022.16,5229.12,5530.2,5782.92,5870.192086699508,5858.702595753126,5759.173298701298,5674.24,5653.96,5835.44,5892.639999999999,6152.12
E09000005,Brent,2833.48,2922.92,3108.56,3241.6800000000003,3244.28,3411.72,3553.6800000000003,3732.04,4015.44,4115.28,4347.72,4635.28,4892.16,5218.72,5275.92,5552.56,5912.92,6143.8,6404.32,7081.988285597714,6965.844759679571,6531.280540818074,6952.92,6792.24,6645.08,6733.4800000000005,7003.360000000001
E09000006,Bromley,2961.4,3097.64,3184.48,3348.28,3419.5200000000004,3574.4799999999996,3677.96,3669.12,3896.88,4056.5200000000004,4312.88,4442.88,4656.599999999999,4970.16,4976.92,5284.24,5777.2,5807.88,6028.88,6142.951770036395,6079.7271080658375,6017.539148936168,6024.72,5901.48,6048.639999999999,6126.639999999999,6354.92
E09000007,Camden,2810.08,3076.84,3186.04,3284.3199999999997,3388.3199999999997,3510.0,3630.6399999999994,3810.04,4205.24,4331.08,4520.88,4742.92,5000.32,5333.12,5423.08,5796.96,6323.72,6611.28,6882.2,6977.250146750526,7049.75427181317,6943.226479241583,6818.24,6744.92,7007.0,7117.76,7419.360000000001
E09000008,Croydon,3274.44,3429.4,3603.6,3663.9199999999996,3736.2,3873.4799999999996,3956.6800000000003,4052.3600000000006,4240.08,4427.8,4587.96,4741.88,5023.72,5268.639999999999,5298.8,5577.52,5948.28,6158.88,6401.72,6548.4083520847125,6467.473889510176,6416.436909193458,6354.400000000001,6286.8,6449.04,6541.08,6814.08
E09000009,Ealing,2817.36,3078.4,3120,3257.7999999999997,3311.36,3456.44,3602.56,3770.5200000000004,4053.9199999999996,4329.52,4437.68,4661.28,4976.400000000001,5289.96,5343.52,5669.56,6054.360000000001,6288.88,6566.04,6893.468420282791,6872.26346877622,6599.918903225806,6788.6,6538.48,6718.92,6821.360000000001,7102.160000000001
E09000010,Enfield,3061.76,3189.6800000000003,3332.16,3300.96,3331.12,3538.0800000000004,3627.5200000000004,3815.2400000000002,4033.12,4258.8,4415.84,4619.16,4830.8,5193.24,5250.44,5640.44,6020.56,6245.72,6528.08,6699.690120742475,6518.978438304446,6354.602336722384,6384.04,6268.599999999999,6410.04,6502.08,6763.12
E09000011,Greenwich,2878.72,3107.52,3191.76,3221.92,3271.84,3425.2400000000002,3542.7599999999998,3724.7599999999998,3934.84,4087.2,4204.72,4471.48,4716.400000000001,4962.88,5023.72,5245.24,5602.48,5779.8,6044.48,6209.925999624554,6139.770215588722,6201.2530433911215,6170.32,6104.28,6273.8,6361.68,6629.48
E09000012,Hackney,2677.48,2905.76,2983.24,3104.4,3111.16,3257.7999999999997,3361.28,3512.6,3750.2400000000002,3923.9199999999996,4080.96,4320.68,4650.360000000001,4909.84,5017.48,5480.28,5769.400000000001,6010.16,6252.48,6424.511292170592,6387.867105187237,6240.577688941455,6194.76,6224.400000000001,6313.32,6416.8,6685.639999999999
E09000013,Hammersmith and Fulham,2607.7999999999997,2778.36,2916.6800000000003,3019.64,3106.48,3228.16,3363.88,3540.16,3810.04,4007.6399999999994,4227.599999999999,4538.04,4785.56,5155.8,5292.56,5599.360000000001,5996.12,6298.76,6664.839999999999,6794.142703464948,6763.211467999999,6691.3979775280895,6685.12,6672.12,6782.88,6878.040000000001,7196.279999999999
E09000014,Haringey,2719.6,2892.24,3036.28,3142.36,3220.36,3338.9199999999996,3440.3199999999997,3566.6800000000003,3809.5200000000004,3964.4799999999996,4167.28,4357.599999999999,4584.32,4906.72,4995.639999999999,5299.32,5675.28,5921.76,6176.04,6398.859651516998,6274.94359375,6140.669346658337,6199.96,6147.44,6300.32,6298.76,6655.48
E09000015,Harrow,2829.84,3073.72,3278.6,3368.56,3458.0,3639.4799999999996,3587.4799999999996,3748.6800000000003,4043.0,4278.56,4345.639999999999,4743.96,4994.08,5321.68,5496.400000000001,5844.28,6191.12,6545.76,6792.24,7144.329300648884,6974.605227192674,6807.479869328496,6871.279999999999,6778.720000000001,6935.24,7024.160000000001,7336.160000000001
E09000016,Havering,2741.96,3037.84,3154.3199999999997,3239.08,3352.44,3514.16,3592.6800000000003,3710.2,4021.6800000000003,4253.599999999999,4450.16,4631.12,4462.639999999999,4784,4969.639999999999,5208.84,5578.04,5744.44,6156.8,6244.386409564212,6288.371546391753,6140.832179327523,6049.16,6191.639999999999,6143.28,6216.599999999999,6474.0
