Code,Area,Year,Housing Category,Value,Rank
E09000001,City of London,2010,Own Outright,,
E09000002,Barking and Dagenham,2010,Own Outright,25300,1.0
E09000003,Barnet,2010,Own Outright,87600,2.0
E09000004,Bexley,2010,Own Outright,62800,3.0
E09000005,Brent,2010,Own Outright,58000,1.0
E09000006,Bromley,2010,Own Outright,72800,3.0
E09000007,Camden,2010,Own Outright,37200,1.0
E09000008,Croydon,2010,Own Outright,60700,2.0
E09000009,Ealing,2010,Own Outright,72300,2.0
E09000010,Enfield,2010,Own Outright,62500,2.0
E09000011,Greenwich,2010,Own Outright,32900,1.0
E09000012,Hackney,2010,Own Outright,24800,1.0
E09000013,Hammersmith and Fulham,2010,Own Outright,31900,1.0
E09000014,Haringey,2010,Own Outright,34900,1.0
E09000015,Harrow,2010,Own Outright,54700,2.0
E09000016,Havering,2010,Own Outright,73000,3.0
E09000017,Hillingdon,2010,Own Outright,43500,1.0
E09000018,Hounslow,2010,Own Outright,43900,1.0
E09000019,Islington,2010,Own Outright,24000,1.0
E09000020,Kensington and Chelsea,2010,Own Outright,37200,2.0
E09000021,Kingston upon Thames,2010,Own Outright,41900,3.0
E09000022,Lambeth,2010,Own Outright,41600,1.0
E09000023,Lewisham,2010,Own Outright,36100,1.0
E09000024,Merton,2010,Own Outright,37400,2.0
E09000025,Newham,2010,Own Outright,36000,1.0
E09000026,Redbridge,2010,Own Outright,65100,3.0
E09000027,Richmond upon Thames,2010,Own Outright,42900,3.0
E09000028,Southwark,2010,Own Outright,21800,1.0
E09000029,Sutton,2010,Own Outright,37600,3.0
E09000030,Tower Hamlets,2010,Own Outright,20000,1.0
E09000031,Waltham Forest,2010,Own Outright,45000,1.0
E09000032,Wandsworth,2010,Own Outright,49800,1.0
E09000033,Westminster,2010,Own Outright,31400,2.0
E09000001,City of London,2011,Own Outright,,
E09000002,Barking and Dagenham,2011,Own Outright,24600,1.0
E09000003,Barnet,2011,Own Outright,76600,2.0
E09000004,Bexley,2011,Own Outright,70400,3.0
E09000005,Brent,2011,Own Outright,48500,1.0
E09000006,Bromley,2011,Own Outright,86400,3.0
E09000007,Camden,2011,Own Outright,34100,1.0
E09000008,Croydon,2011,Own Outright,66800,1.0
E09000009,Ealing,2011,Own Outright,58800,1.0
E09000010,Enfield,2011,Own Outright,68000,2.0
E09000011,Greenwich,2011,Own Outright,37700,1.0
E09000012,Hackney,2011,Own Outright,23000,1.0
E09000013,Hammersmith and Fulham,2011,Own Outright,30000,1.0
E09000014,Haringey,2011,Own Outright,40700,1.0
E09000015,Harrow,2011,Own Outright,48600,2.0
E09000016,Havering,2011,Own Outright,74100,3.0
E09000017,Hillingdon,2011,Own Outright,54000,2.0
E09000018,Hounslow,2011,Own Outright,49300,2.0
E09000019,Islington,2011,Own Outright,24000,1.0
E09000020,Kensington and Chelsea,2011,Own Outright,37700,2.0
E09000021,Kingston upon Thames,2011,Own Outright,37800,2.0
E09000022,Lambeth,2011,Own Outright,30200,1.0
E09000023,Lewisham,2011,Own Outright,32900,1.0
E09000024,Merton,2011,Own Outright,34000,2.0
E09000025,Newham,2011,Own Outright,30900,1.0
E09000026,Redbridge,2011,Own Outright,58400,2.0
E09000027,Richmond upon Thames,2011,Own Outright,47800,2.0
E09000028,Southwark,2011,Own Outright,28000,1.0
E09000029,Sutton,2011,Own Outright,35700,2.0
E09000030,Tower Hamlets,2011,Own Outright,13900,1.0
E09000031,Waltham Forest,2011,Own Outright,43700,1.0
E09000032,Wandsworth,2011,Own Outright,51900,1.0
E09000033,Westminster,2011,Own Outright,31200,1.0
E09000001,City of London,2012,Own Outright,,
E09000002,Barking and Dagenham,2012,Own Outright,26800,1.0
E09000003,Barnet,2012,Own Outright,76900,2.0
E09000004,Bexley,2012,Own Outright,66100,3.0
E09000005,Brent,2012,Own Outright,55900,1.0
E09000006,Bromley,2012,Own Outright,86700,3.0
E09000007,Camden,2012,Own Outright,40600,2.0
E09000008,Croydon,2012,Own Outright,84700,3.0
E09000009,Ealing,2012,Own Outright,61300,2.0
E09000010,Enfield,2012,Own Outright,68200,2.0
E09000011,Greenwich,2012,Own Outright,44300,1.0
E09000012,Hackney,2012,Own Outright,28800,1.0
E09000013,Hammersmith and Fulham,2012,Own Outright,33500,1.0
E09000014,Haringey,2012,Own Outright,42400,1.0
E09000015,Harrow,2012,Own Outright,52400,2.0
E09000016,Havering,2012,Own Outright,81400,3.0
E09000017,Hillingdon,2012,Own Outright,71100,3.0
E09000018,Hounslow,2012,Own Outright,51500,2.0
E09000019,Islington,2012,Own Outright,27800,1.0
E09000020,Kensington and Chelsea,2012,Own Outright,35400,2.0
E09000021,Kingston upon Thames,2012,Own Outright,37100,2.0
E09000022,Lambeth,2012,Own Outright,29500,1.0
E09000023,Lewisham,2012,Own Outright,39300,1.0
E09000024,Merton,2012,Own Outright,36700,2.0
E09000025,Newham,2012,Own Outright,33300,1.0
E09000026,Redbridge,2012,Own Outright,59900,2.0
E09000027,Richmond upon Thames,2012,Own Outright,46900,3.0
E09000028,Southwark,2012,Own Outright,34500,1.0
E09000029,Sutton,2012,Own Outright,42200,3.0
E09000030,Tower Hamlets,2012,Own Outright,17500,1.0
E09000031,Waltham Forest,2012,Own Outright,38500,1.0
E09000032,Wandsworth,2012,Own Outright,56000,2.0
E09000033,Westminster,2012,Own Outright,36600,2.0
E09000001,City of London,2013,Own Outright,,
E09000002,Barking and Dagenham,2013,Own Outright,25300,1.0
E09000003,Barnet,2013,Own Outright,87800,2.0
E09000004,Bexley,2013,Own Outright,70300,3.0
E09000005,Brent,2013,Own Outright,56000,1.0
E09000006,Bromley,2013,Own Outright,102300,3.0
E09000007,Camden,2013,Own Outright,38800,2.0
E09000008,Croydon,2013,Own Outright,81900,3.0
E09000009,Ealing,2013,Own Outright,63700,2.0
E09000010,Enfield,2013,Own Outright,73700,2.0
E09000011,Greenwich,2013,Own Outright,32800,1.0
E09000012,Hackney,2013,Own Outright,29900,1.0
E09000013,Hammersmith and Fulham,2013,Own Outright,26900,1.0
E09000014,Haringey,2013,Own Outright,37300,1.0
E09000015,Harrow,2013,Own Outright,62400,2.0
E09000016,Havering,2013,Own Outright,65100,3.0
E09000017,Hillingdon,2013,Own Outright,63100,3.0
E09000018,Hounslow,2013,Own Outright,51300,2.0
E09000019,Islington,2013,Own Outright,28800,1.0
E09000020,Kensington and Chelsea,2013,Own Outright,30300,2.0
E09000021,Kingston upon Thames,2013,Own Outright,39000,3.0
E09000022,Lambeth,2013,Own Outright,34200,1.0
E09000023,Lewisham,2013,Own Outright,30700,1.0
E09000024,Merton,2013,Own Outright,44400,2.0
E09000025,Newham,2013,Own Outright,36300,1.0
E09000026,Redbridge,2013,Own Outright,59900,2.0
E09000027,Richmond upon Thames,2013,Own Outright,47100,3.0
E09000028,Southwark,2013,Own Outright,26400,1.0
E09000029,Sutton,2013,Own Outright,42100,3.0
E09000030,Tower Hamlets,2013,Own Outright,17300,1.0
E09000031,Waltham Forest,2013,Own Outright,39700,1.0
E09000032,Wandsworth,2013,Own Outright,59400,1.0
E09000033,Westminster,2013,Own Outright,33200,2.0
E09000001,City of London,2014,Own Outright,,
E09000002,Barking and Dagenham,2014,Own Outright,26400,1.0
E09000003,Barnet,2014,Own Outright,88400,2.0
E09000004,Bexley,2014,Own Outright,72900,3.0
E09000005,Brent,2014,Own Outright,62400,2.0
E09000006,Bromley,2014,Own Outright,102200,3.0
E09000007,Camden,2014,Own Outright,40500,2.0
E09000008,Croydon,2014,Own Outright,97200,3.0
E09000009,Ealing,2014,Own Outright,57200,2.0
E09000010,Enfield,2014,Own Outright,67100,2.0
E09000011,Greenwich,2014,Own Outright,40000,1.0
E09000012,Hackney,2014,Own Outright,27300,1.0
E09000013,Hammersmith and Fulham,2014,Own Outright,30100,1.0
E09000014,Haringey,2014,Own Outright,43800,1.0
E09000015,Harrow,2014,Own Outright,69100,2.0
E09000016,Havering,2014,Own Outright,71100,3.0
E09000017,Hillingdon,2014,Own Outright,52800,2.0
E09000018,Hounslow,2014,Own Outright,58500,2.0
E09000019,Islington,2014,Own Outright,28700,1.0
E09000020,Kensington and Chelsea,2014,Own Outright,36900,2.0
E09000021,Kingston upon Thames,2014,Own Outright,38500,3.0
E09000022,Lambeth,2014,Own Outright,30000,1.0
E09000023,Lewisham,2014,Own Outright,38800,1.0
E09000024,Merton,2014,Own Outright,36700,2.0
E09000025,Newham,2014,Own Outright,31300,1.0
E09000026,Redbridge,2014,Own Outright,64200,2.0
E09000027,Richmond upon Thames,2014,Own Outright,52100,3.0
E09000028,Southwark,2014,Own Outright,28400,1.0
E09000029,Sutton,2014,Own Outright,45300,3.0
E09000030,Tower Hamlets,2014,Own Outright,13600,1.0
E09000031,Waltham Forest,2014,Own Outright,56500,2.0
E09000032,Wandsworth,2014,Own Outright,53900,1.0
E09000033,Westminster,2014,Own Outright,33600,2.0
E09000001,City of London,2015,Own Outright,,
E09000002,Barking and Dagenham,2015,Own Outright,32600,1.0
E09000003,Barnet,2015,Own Outright,89600,2.0
E09000004,Bexley,2015,Own Outright,78800,3.0
E09000005,Brent,2015,Own Outright,48100,1.0
E09000006,Bromley,2015,Own Outright,80400,3.0
E09000007,Camden,2015,Own Outright,45300,2.0
E09000008,Croydon,2015,Own Outright,84700,3.0
E09000009,Ealing,2015,Own Outright,65500,2.0
E09000010,Enfield,2015,Own Outright,63500,1.0
E09000011,Greenwich,2015,Own Outright,37800,1.0
E09000012,Hackney,2015,Own Outright,23500,1.0
E09000013,Hammersmith and Fulham,2015,Own Outright,26000,1.0
E09000014,Haringey,2015,Own Outright,39400,1.0
E09000015,Harrow,2015,Own Outright,73900,3.0
E09000016,Havering,2015,Own Outright,72200,3.0
E09000017,Hillingdon,2015,Own Outright,55900,1.0
E09000018,Hounslow,2015,Own Outright,51300,2.0
E09000019,Islington,2015,Own Outright,23500,1.0
E09000020,Kensington and Chelsea,2015,Own Outright,30100,2.0
E09000021,Kingston upon Thames,2015,Own Outright,37500,3.0
E09000022,Lambeth,2015,Own Outright,30800,1.0
E09000023,Lewisham,2015,Own Outright,43400,1.0
E09000024,Merton,2015,Own Outright,43400,2.0
E09000025,Newham,2015,Own Outright,32800,1.0
E09000026,Redbridge,2015,Own Outright,76400,2.0
E09000027,Richmond upon Thames,2015,Own Outright,48900,3.0
E09000028,Southwark,2015,Own Outright,25300,1.0
E09000029,Sutton,2015,Own Outright,45300,3.0
E09000030,Tower Hamlets,2015,Own Outright,17700,1.0
E09000031,Waltham Forest,2015,Own Outright,57700,2.0
E09000032,Wandsworth,2015,Own Outright,50000,2.0
E09000033,Westminster,2015,Own Outright,34600,2.0
E09000001,City of London,2016,Own Outright,,
E09000002,Barking and Dagenham,2016,Own Outright,31000,1.0
E09000003,Barnet,2016,Own Outright,98600,2.0
E09000004,Bexley,2016,Own Outright,69600,3.0
E09000005,Brent,2016,Own Outright,42300,1.0
E09000006,Bromley,2016,Own Outright,86400,3.0
E09000007,Camden,2016,Own Outright,41300,1.0
E09000008,Croydon,2016,Own Outright,78000,3.0
E09000009,Ealing,2016,Own Outright,66700,2.0
E09000010,Enfield,2016,Own Outright,63200,1.0
E09000011,Greenwich,2016,Own Outright,32200,1.0
E09000012,Hackney,2016,Own Outright,22300,1.0
E09000013,Hammersmith and Fulham,2016,Own Outright,28800,1.0
E09000014,Haringey,2016,Own Outright,47500,1.0
E09000015,Harrow,2016,Own Outright,57800,2.0
E09000016,Havering,2016,Own Outright,87500,3.0
E09000017,Hillingdon,2016,Own Outright,56400,2.0
E09000018,Hounslow,2016,Own Outright,46400,1.0
E09000019,Islington,2016,Own Outright,30100,1.0
E09000020,Kensington and Chelsea,2016,Own Outright,32200,2.0
E09000021,Kingston upon Thames,2016,Own Outright,40800,2.0
E09000022,Lambeth,2016,Own Outright,40600,1.0
E09000023,Lewisham,2016,Own Outright,42600,1.0
E09000024,Merton,2016,Own Outright,53700,3.0
E09000025,Newham,2016,Own Outright,43500,1.0
E09000026,Redbridge,2016,Own Outright,68400,2.0
E09000027,Richmond upon Thames,2016,Own Outright,47800,3.0
E09000028,Southwark,2016,Own Outright,35000,1.0
E09000029,Sutton,2016,Own Outright,44400,3.0
E09000030,Tower Hamlets,2016,Own Outright,21700,1.0
E09000031,Waltham Forest,2016,Own Outright,49700,2.0
E09000032,Wandsworth,2016,Own Outright,47800,2.0
E09000033,Westminster,2016,Own Outright,36500,2.0
E09000001,City of London,2017,Own Outright,,
E09000002,Barking and Dagenham,2017,Own Outright,29800,1.0
E09000003,Barnet,2017,Own Outright,96300,2.0
E09000004,Bexley,2017,Own Outright,73600,3.0
E09000005,Brent,2017,Own Outright,49500,1.0
E09000006,Bromley,2017,Own Outright,84300,3.0
E09000007,Camden,2017,Own Outright,49700,2.0
E09000008,Croydon,2017,Own Outright,62300,2.0
E09000009,Ealing,2017,Own Outright,90200,2.0
E09000010,Enfield,2017,Own Outright,78400,2.0
E09000011,Greenwich,2017,Own Outright,40000,1.0
E09000012,Hackney,2017,Own Outright,35300,1.0
E09000013,Hammersmith and Fulham,2017,Own Outright,36400,1.0
E09000014,Haringey,2017,Own Outright,45700,1.0
E09000015,Harrow,2017,Own Outright,61200,2.0
E09000016,Havering,2017,Own Outright,81200,3.0
E09000017,Hillingdon,2017,Own Outright,58400,2.0
E09000018,Hounslow,2017,Own Outright,48900,1.0
E09000019,Islington,2017,Own Outright,38000,1.0
E09000020,Kensington and Chelsea,2017,Own Outright,29500,2.0
E09000021,Kingston upon Thames,2017,Own Outright,42900,3.0
E09000022,Lambeth,2017,Own Outright,56400,1.0
E09000023,Lewisham,2017,Own Outright,36000,1.0
E09000024,Merton,2017,Own Outright,49500,3.0
E09000025,Newham,2017,Own Outright,51800,1.0
E09000026,Redbridge,2017,Own Outright,70300,2.0
E09000027,Richmond upon Thames,2017,Own Outright,58500,3.0
E09000028,Southwark,2017,Own Outright,36300,1.0
E09000029,Sutton,2017,Own Outright,59300,3.0
E09000030,Tower Hamlets,2017,Own Outright,32300,1.0
E09000031,Waltham Forest,2017,Own Outright,44100,1.0
E09000032,Wandsworth,2017,Own Outright,51400,2.0
E09000033,Westminster,2017,Own Outright,37800,2.0
E09000001,City of London,2018,Own Outright,,
E09000002,Barking and Dagenham,2018,Own Outright,35300,1.0
E09000003,Barnet,2018,Own Outright,98300,3.0
E09000004,Bexley,2018,Own Outright,70900,3.0
E09000005,Brent,2018,Own Outright,56900,1.0
