Code,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
E09000001,City of London,724,607,720,787,703,623,679,914,1204,1427,1344,1440,1291,1223,1219,1147,1312,476,693,771,853,656,780,782,903,899,907,1072
E09000002,Barking and Dagenham,1422,1682,1785,1925,2157,2668,3018,3149,2321,7689,9185,10844,11411,11376,12223,13671,11596,11024,13579,6704,6795,4587,4856,5350,5585,5996,4337,3940
E09000003,Barnet,2975,4429,5004,5489,6732,7030,8738,10732,13627,16470,17909,11241,13982,15166,16103,815,981,1045,3065,3213,2683,2648,2914,1678,3171,3241,4149,4437
E09000004,Bexley,3175,1896,2762,3592,3596,3487,4265,4404,4528,5955,6115,6180,6489,6660,6759,9765,9579,3481,4612,5017,6022,6613,6553,6589,6365,6116,1211,1479
E09000005,Brent,12974,10153,11703,12603,13511,14746,13425,15504,17351,16398,18609,20386,21737,16260,14443,16735,17580,5102,3737,3630,3274,3498,3319,3051,24002,25218,28150,33263
E09000006,Bromley,2380,2487,3202,3264,3787,3592,3556,3866,2998,4282,4427,4861,3794,5909,6672,1064,2335,3126,3228,2793,3777,3438,3501,1634,2408,2618,2772,3201
E09000007,Camden,7456,8019,6302,5884,8614,8147,8961,15757,16532,9562,10442,11712,13128,15213,17052,18974,20720,22409,24644,2930,2967,3074,5991,6364,7062,7017,7423,8028
E09000008,Croydon,5038,5620,6389,6265,6214,6890,6425,8067,8856,9271,9776,10044,9723,9870,7880,8758,8848,5102,5009,4530,5052,5138,5468,5819,5470,5470,6979,8149
E09000009,Ealing,10705,5829,7261,7709,8132,8289,10763,12808,14324,15936,20653,22711,11174,10683,12020,13870,9213,10676,10607,11452,12684,13685,8670,9545,10875,12094,12669,7419
E09000010,Enfield,3029,5089,4263,6001,8845,7264,9496,12584,7872,7055,6986,6378,6258,6525,6158,6956,6315,2237,1945,1843,3246,3444,4424,3712,4572,5622,5991,6401
E09000011,Greenwich,7693,8619,5454,5473,5869,6876,7753,6710,7666,10239,12178,13486,7902,7066,6972,11656,12490,11375,11468,11562,12826,13618,15386,16982,19132,20479,22405,23622
E09000012,Hackney,10941,9680,13480,7011,8307,8930,10529,11016,7744,8815,8565,10683,11461,11956,13423,14171,15090,7926,10715,11238,12372,12766,12951,13440,13440,8235,8234,7930
E09000013,Hammersmith and Fulham,5912,3383,4451,4726,6865,6044,6665,7874,8384,7795,8104,7214,8492,9361,7754,8171,768,433,518,1402,1577,1644,1893,1929,1957,1719,1623,1889
E09000014,Haringey,5301,5506,7409,9510,10344,12585,14264,16920,19930,24939,10252,15095,16053,16960,18940,17763,9838,9203,10902,8290,9194,9650,10347,10884,11640,11807,12826,13407
E09000015,Harrow,1926,2359,2374,2610,3141,3992,3281,4333,4944,5533,4968,4771,4261,4274,3801,3953,3676,687,762,1050,1637,1883,2012,1915,2013,2061,2163,2427
E09000016,Havering,2242,1872,1511,1738,1985,1888,1962,2384,3477,3876,5480,7714,9227,10693,6992,9365,11592,2271,2354,2615,2204,2234,1987,1995,2148,1922,2553,3036
E09000017,Hillingdon,3395,4113,7655,3656,5810,6041,5507,6910,7471,7136,8045,8175,6797,6004,6650,9948,10879,3606,3567,2314,1826,1687,1738,2229,2738,3109,3451,3896
E09000018,Hounslow,6564,6837,5188,5017,4983,6369,5952,7088,10382,11666,9922,11334,10088,12212,12212,12284,9640,6842,8504,3130,3376,2157,1833,1930,3338,5036,7899,3892
E09000019,Islington,10950,10877,12428,11590,6427,8161,8566,6871,6326,8489,10604,11311,11921,8426,11339,13690,19178,17860,19196,20733,18033,14469,14567,14164,14435,15402,15742,16747
E09000020,Kensington and Chelsea,5554,7527,7671,8206,6150,8294,7872,8326,9436,10798,10342,6284,6687,6116,6734,7551,8867,2677,2599,2753,2718,3330,3311,3243,3192,3055,3022,2923
E09000021,Kingston upon Thames,2161,1924,2846,3113,3723,3971,4137,4465,4903,5726,5616,6127,6812,6872,7423,7374,5515,6436,7105,8542,9732,9732,1755,2867,2812,3116,2667,2109
E09000022,Lambeth,10263,9013,13050,16220,13115,14228,11140,12847,10648,13611,14495,15479,16729,20988,23894,27534,15070,15264,17076,18792,20438,23364,25198,27674,30864,33640,35924,38131
E09000023,Lewisham,12337,13922,11520,9774,10182,15368,15341,17497,18279,17535,19850,17256,17518,17518,16060,17772,7830,8294,8442,9058,9596,9921,9512,9768,10088,10183,10694,11008
E09000024,Merton,2521,2569,3345,3920,4214,4361,4312,4834,5188,3278,5885,6542,6163,4987,6354,7295,8196,7625,8229,8938,9581,9802,10215,9678,9125,9415,10070,10665
E09000025,Newham,10281,9412,9537,9901,11426,13942,16228,19503,25317,29574,24159,28579,28649,31851,32045,30975,24179,15582,16757,17453,25729,26139,27635,28020,31887,33246,35625,38417
E09000026,Redbridge,2107,2466,2956,3555,5426,5671,4952,4766,7941,10807,11402,13188,13969,12644,9861,11290,13338,7804,7779,7901,8335,5408,5434,5979,7582,6990,7517,7871
E09000027,Richmond upon Thames,2684,3741,4667,4992,3383,3763,3861,4868,4898,5726,4576,5549,6858,7331,4807,5587,4415,4008,4101,4908,3068,3944,4336,4467,4893,5174,5385,5327
E09000028,Southwark,3749,3510,4645,5543,7191,6164,6757,6657,7548,8057,8987,8604,9804,10769,12570,14112,14713,13436,7832,7096,6665,6778,6772,8088,10013,11304,11893,12333
E09000029,Sutton,2346,1925,1963,2154,2432,1653,1662,2145,3724,3408,4121,4091,4174,4116,4323,5493,979,1496,1319,1162,1375,1587,1591,1999,2472,2601,2674,2443
E09000030,Tower Hamlets,7955,5943,6215,6751,7566,7837,10979,14575,21183,12926,13978,18582,19681,22707,23128,23406,24428,20425,19783,19124,18616,18808,19826,20073,21152,21840,23609,24519
E09000031,Waltham Forest,8000,7977,7172,7476,8664,10283,9680,9016,8837,11059,10169,9655,14341,15624,16153,21864,25054,20635,15405,8306,8795,7330,8379,8409,8580,9508,8944,9507
